year,energy,energy_pop,energy_gdp,nom_energy,nom_energy_pc,nom_energy_gdp,nom_energy_go,co2,co2_pc,co2_gdp
1970,67.816828,331,13.7,82874.77,404,7.7,4.4,4261.308,20.8,861
1971,69.260271,334,13.54,90037.83,434,7.7,4.4,4311.927,20.8,843
1972,72.660036,346,13.5,98070.23,467,7.7,4.3,4532.008,21.6,842
1973,75.65228,357,13.3,111894.17,528,7.9,4.4,4723.199,22.3,830
1974,73.929322,346,13.07,153369.01,717,9.9,5.3,4562.328,21.3,807
1975,71.931011,333,12.74,171853.74,796,10.2,5.6,4427.598,20.5,784
1976,75.939029,348,12.77,193915.85,889,10.4,5.6,4695.321,21.5,789
1977,77.919991,354,12.52,220499.07,1001,10.6,5.7,4836.8,22,777
1978,79.906703,359,12.16,239280.18,1075,10.2,5.5,4885.108,21.9,744
1979,80.811788,359,11.93,297574.63,1322,11.3,6,4947.788,22,730
1980,78.021113,343,11.54,374350.01,1647,13.1,6.9,4751.533,20.9,703
1981,76.057187,331,10.97,427901.18,1865,13.3,7.1,4628.493,20.2,668
1982,73.046189,315,10.73,426482.04,1841,12.8,6.9,4395.337,19,646
1983,72.915394,312,10.24,417621.52,1786,11.5,6.3,4371.733,18.7,614
1984,76.570697,325,10.03,435312.89,1846,10.8,6,4597.33,19.5,602
1985,76.334135,321,9.6,438343.15,1842,10.1,5.6,4588.331,19.3,577
1986,76.598888,319,9.31,384090.9,1599,8.4,4.8,4599.584,19.2,559
1987,79.008203,326,9.28,397626.64,1641,8.2,4.6,4757.868,19.6,559
1988,82.659169,338,9.32,411568.41,1683,7.9,4.4,4982.164,20.4,562
1989,84.739993,343,9.22,439051.27,1779,7.8,4.4,5069.348,20.5,551
1990,84.43286,338,9.02,474652.2,1901,8,4.5,5041.459,20.2,538
1991,84.3803,334,9.02,472439.63,1867,7.7,4.4,4996.123,19.7,534
1992,85.724885,334,8.85,476844.99,1859,7.3,4.2,5096.685,19.9,526
1993,87.265888,336,8.77,492274.6,1894,7.2,4.1,5187.338,20,521
1994,88.983234,338,8.6,504856.36,1919,6.9,3.9,5264.005,20,508
1995,90.930704,341,8.55,514623.52,1933,6.7,3.8,5323.656,20,501
1996,93.934511,349,8.52,560292.89,2080,6.9,3.9,5512.591,20.5,500
1997,94.506999,347,8.2,567961.81,2083,6.6,3.7,5583.325,20.5,485
1998,94.92019,344,7.88,526282.64,1908,5.8,3.2,5632.766,20.4,468
1999,96.544524,346,7.66,558626.72,2002,5.8,3.2,5694.46,20.4,452
2000,98.702224,350,7.52,687710.87,2437,6.7,3.7,5867.821,20.8,447
2001,96.063734,337,7.24,696242.14,2443,6.6,3.7,5766.051,20.2,435
2002,97.535391,339,7.23,663964.43,2308,6.1,3.5,5807.755,20.2,430
2003,97.834773,337,7.05,755070.34,2603,6.6,3.7,5858.429,20.2,422
2004,100.002368,342,6.94,871210.24,2975,7.1,4,5977.161,20.4,415
2005,100.101576,339,6.71,1045730.36,3539,8,4.4,5997.583,20.3,402
2006,99.391541,333,6.48,1158820.58,3884,8.4,4.6,5915.367,19.8,386
2007,100.893363,335,6.46,1233868.68,4096,8.5,4.7,6004.665,19.9,384
2008,98.753711,325,6.33,1408759.34,4633,9.6,5.2,5818.073,19.1,373
2009,93.942216,306,6.18,1066292.79,3476,7.4,4.3,5393.408,17.6,355
2010,97.513239,315,6.25,1214085.22,3925,8.1,4.6,5583.926,18.1,358
2011,96.86256,311,6.11,1392316.44,4469,9,5,5445.269,17.5,344
2012,94.374079,301,5.83,1354980.63,4317,8.4,4.6,5228.292,16.7,323
2013,97.116801,307,5.89,1376234.31,4354,8.2,4.5,5355.424,16.9,325
2014,98.276088,309,5.81,1395253.9,4382,8,4.4,5412.141,17,320
2015,97.375089,304,5.59,1128234.05,3518,6.2,3.5,5261.75,16.4,302
2016,97.337416,301,5.49,1038671.9,3215,5.5,3.2,5169.434,16,292
2017,97.598597,300,5.38,1136211.46,3495,5.8,3.3,5129.559,15.8,283
2018,101.162428,310,5.41,1271632.51,3891,6.2,3.5,5274.889,16.1,282
2019,100.292908,305,5.25,1223852.03,3728,5.7,3.2,5139.725,15.7,269